,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,ro_Income,ro_Kidhome,ro_Teenhome,ro_Recency,ro_MntWines,ro_MntFruits,ro_MntMeatProducts,ro_MntFishProducts,ro_MntSweetProducts,ro_MntGoldProds,ro_NumDealsPurchases,ro_NumWebPurchases,ro_NumCatalogPurchases,ro_NumStorePurchases,ro_NumWebVisitsMonth,ro_AcceptedCmp3,ro_AcceptedCmp4,ro_AcceptedCmp5,ro_AcceptedCmp1,ro_AcceptedCmp2,ro_Complain,ro_Z_CostContact,ro_Z_Revenue,ro_Response,ro_Age,ro_Customer_Days,ro_marital_Divorced,ro_marital_Married,ro_marital_Single,ro_marital_Together,ro_marital_Widow,ro_education_2n Cycle,ro_education_Basic,ro_education_Graduation,ro_education_Master,ro_education_PhD,ro_MntTotal,ro_MntRegularProds,ro_AcceptedCmpOverall
0,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,63,2822,0,0,1,0,0,0,0,1,0,0,1529,1441,0,0.20707269155206287,0.0,0.0,0.18,0.9461697722567288,2.5806451612903225,2.212962962962963,3.404255319148936,2.4242424242424243,1.3404255319148937,0.5,1.0,2.0,-0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7222222222222222,0.8796561604584527,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3061674008810573,1.3693586698337292,0.0
1,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,66,2272,0,0,1,0,0,0,0,1,0,0,21,15,0,-0.14940305274293486,1.0,1.0,-0.22,-0.34575569358178054,-0.22580645161290322,-0.28703703703703703,-0.2127659574468085,-0.21212121212121213,-0.40425531914893614,0.0,-0.75,-0.25,-0.6,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,-0.6962750716332379,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35462555066079293,-0.32422802850356297,0.0
2,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,55,2471,0,0,0,1,0,0,0,1,0,0,734,692,0,0.6143569593471362,0.0,0.0,-0.46,0.5134575569358178,1.3225806451612903,0.27314814814814814,2.106382978723404,0.3939393939393939,0.3617021276595745,-0.5,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,-0.12607449856733524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43061674008810574,0.47980997624703087,0.0
3,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,36,2298,0,0,0,1,0,0,0,1,0,0,48,43,0,-0.7447786005742784,1.0,0.0,-0.46,-0.34575569358178054,-0.12903225806451613,-0.2222222222222222,-0.0425531914893617,-0.15151515151515152,-0.425531914893617,0.0,-0.5,-0.5,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7777777777777778,-0.6217765042979942,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3248898678414097,-0.29097387173396677,0.0
4,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,39,2320,0,1,0,0,0,0,0,0,0,1,407,392,0,0.2117575940758652,1.0,0.0,0.9,-0.010351966873706004,1.1290322580645162,0.23148148148148148,0.723404255319149,0.5757575757575758,-0.2127659574468085,1.5,0.25,0.25,0.2,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6111111111111112,-0.5587392550143266,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.07048458149779736,0.12351543942992874,0.0
5,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,53,2452,0,0,0,1,0,0,0,0,1,0,702,688,0,0.33930784343358017,0.0,1.0,-0.66,0.7080745341614907,1.096774193548387,0.1388888888888889,-0.2553191489361702,1.0303030303030303,-0.23404255319148937,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,-0.18051575931232092,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.39537444933920707,0.4750593824228028,0.0
6,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,49,2752,1,0,0,0,0,0,0,1,0,0,563,536,0,0.1314190720870485,0.0,1.0,-0.3,0.11801242236024845,1.8387096774193548,0.4444444444444444,0.8085106382978723,1.2424242424242424,0.0425531914893617,1.0,0.75,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05555555555555555,0.6790830945558739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2422907488986784,0.29453681710213775,0.0
7,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,35,2576,0,1,0,0,0,0,0,0,0,1,146,123,0,-0.539005591657851,1.0,0.0,-0.34,-0.2111801242236025,0.06451612903225806,-0.05555555555555555,-0.19148936170212766,-0.21212121212121213,-0.0425531914893617,0.0,0.0,-0.5,-0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.17478510028653296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-0.21696035242290748,-0.19596199524940616,0.0
8,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,2547,0,0,0,1,0,0,0,0,0,1,44,42,0,-0.6327943176666163,1.0,0.0,-0.6,-0.33954451345755693,-0.25806451612903225,-0.2037037037037037,-0.19148936170212766,-0.15151515151515152,-0.48936170212765956,-0.5,-0.25,-0.5,-0.6,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2222222222222222,0.09169054441260745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-0.32929515418502203,-0.2921615201900237,0.0
9,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,70,2267,0,0,0,1,0,0,0,0,0,1,36,23,1,-1.3794468792504155,1.0,1.0,0.38,-0.3105590062111801,-0.25806451612903225,-0.28703703703703703,-0.23404255319148937,-0.21212121212121213,-0.2553191489361702,-0.5,-0.75,-0.5,-1.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,-0.7106017191977078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-0.3381057268722467,-0.3147268408551069,1.0
